Class #,Time,Day,Location,01-Warmup,02-Squats,03-Chest,04-Back,05-Triceps,06-Biceps,07-Lunges,08-Shoulders,09-Core,10-Cooldown,Class Type,Notes
78,19:00,Monday,Clarendon,BP-100,BP-103 (Bonus),BP-102,BP-100,BP-099,BP-103,BP-108,BP-108,BP-101,BP-103,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
79,18:30,Wednesday,Falls Church,BP-100,BP-103 (Bonus),BP-102,BP-100,BP-099,BP-103,BP-104,BP-105,BP-101,BP-103,Other,Other
80,18:00,Thursday,Clarendon,BP-099,BP-105,BP-102,BP-101,BP-104,BP-103,BP-104,BP-105,BP-104,BP-103,Other,Other
81,19:00,Monday,Clarendon,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
82,18:30,Friday,Ballston,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,Ballston (Friday night),Ballston (Friday 6:30 pm)
83,12:40,Saturday,Ballston,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,Other,Other
84,9:00,Sunday,Clarendon,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,Other,Other
85,19:00,Monday,Clarendon,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,BP-109,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
86,19:00,Monday,Clarendon,BP-101,BP-100,BP-106,BP-104,BP-107,BP-109,BP-109,BP-104 (Bonus),BP-098,BP-109,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
87,19:00,Monday,Clarendon,BP-101,BP-103 (Bonus),BP-102,BP-105,BP-101,BP-099,BP-108,BP-105,BP-098,BP-109,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
88,18:30,Tuesday,Bailey's Crossroads,BP-101,BP-103 (Bonus),BP-102,BP-105,BP-101,BP-103,BP-108,BP-105,BP-098,BP-105,Other,Other
89,19:00,Thursday,Bailey's Crossroads,BP-107,BP-100,BP-105,BP-098,BP-103,BP-099,BP-105,BP-100 (Bonus),BP-098,BP-100,Other,Other
90,18:30,Friday,Ballston,BP-107,BP-100,BP-105,BP-098,BP-103,BP-099,BP-105,BP-100 (Bonus),BP-098,BP-100,Ballston (Friday night),Ballston (Friday 6:30 pm)
91,19:00,Monday,Clarendon,BP-107,BP-100,BP-105,BP-098,BP-103,BP-099,BP-105,BP-100 (Bonus),BP-098,BP-100,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
92,19:00,Thursday,Bailey's Crossroads,BP-099,BP-106,BP-103,BP-100,BP-099,BP-098,BP-098,BP-104 (Bonus),BP-101,BP-101,Other,Other
93,18:30,Friday,Ballston,BP-099,BP-105,BP-102,BP-104,BP-099,BP-103,BP-098,BP-104 (Bonus),BP-101,BP-101,Ballston (Friday night),Ballston (Friday 6:30 pm)
94,10:00,Saturday,Rosslyn,BP-099,BP-105,BP-102,BP-104,BP-099,BP-103,BP-098,BP-100 (Bonus),BP-105,BP-101,Other,Other
95,18:30,Friday,Ballston,BP-103,BP-098,BP-099,BP-106,BP-108,BP-106,BP-103,BP-106,BP-106,BP-104,Ballston (Friday night),Ballston (Friday 6:30 pm)
96,19:00,Monday,Clarendon,BP-103,BP-098,BP-099,BP-106,BP-108,BP-106,BP-103,BP-106,BP-106,BP-104,Clarendon (Monday night),Clarendon (Monday 7:00 pm)
97,18:30,Tuesday,Ballston,BP-108,BP-100,BP-098,BP-108,BP-104,BP-100,BP-105,BP-100 (Bonus),BP-109,BP-105,Other,Other
98,18:30,Friday,Ballston,BP-108,BP-106,BP-107,BP-108,BP-109,BP-100,BP-108,BP-107,BP-108,BP-108,Ballston (Friday night),Ballston (Friday 6:30 pm)
99,16:00,Sunday,Ballston,BP-104,BP-102,BP-100,BP-099,BP-109,BP-104,BP-105,BP-108,BP-108,BP-109,Other,Other
